,x,y,tssite,region,cell,frame
0,1058,254,False,Cytoplasm,2,0
1,1037,307,False,Nucleus,2,0
2,1060,313,False,Cytoplasm,2,0
3,593,321,False,Cytoplasm,1,0
4,1069,339,False,Cytoplasm,2,0
5,1021,348,False,Nucleus,2,0
6,1071,353,False,Cytoplasm,2,0
7,1472,1422,False,Cytoplasm,4,0
8,1392,1432,False,Cytoplasm,4,0
9,1467,1435,False,Nucleus,4,0
10,1428,1442,False,Cytoplasm,4,0
11,485,1449,False,Cytoplasm,5,0
12,1423,1542,False,Cytoplasm,4,0
13,1468,1550,False,Cytoplasm,4,0
14,1608,1590,False,Cytoplasm,4,0
15,1505,1596,False,Cytoplasm,4,0
16,1535,1607,False,Cytoplasm,4,0
17,1049,238,False,Cytoplasm,2,0
18,1046,237,False,Cytoplasm,2,0
19,1045,247,False,Cytoplasm,2,0
20,1046,248,False,Cytoplasm,2,0
21,1045,244,False,Cytoplasm,2,0
22,1049,245,False,Cytoplasm,2,0
23,1039,246,False,Cytoplasm,2,0
24,1059,265,False,Cytoplasm,2,0
25,597,265,False,Cytoplasm,1,0
26,1064,266,False,Cytoplasm,2,0
27,1037,295,False,Nucleus,2,0
28,1035,297,False,Nucleus,2,0
29,1037,295,False,Nucleus,2,0
30,1063,367,False,Cytoplasm,2,0
31,1086,436,False,Cytoplasm,1,1
32,1196,472,False,Cytoplasm,1,1
33,1214,522,False,Cytoplasm,1,1
34,1228,568,False,Cytoplasm,1,1
35,1233,579,False,Cytoplasm,1,1
36,1080,593,False,Nucleus,1,1
37,1145,650,False,Nucleus,1,1
38,1191,689,False,Nucleus,1,1
39,1273,699,False,Cytoplasm,1,1
40,1081,711,False,Cytoplasm,1,1
41,1095,727,False,Cytoplasm,1,1
42,1028,748,False,Cytoplasm,1,1
43,1227,748,False,Nucleus,1,1
44,1263,756,False,Cytoplasm,1,1
45,1131,770,False,Cytoplasm,1,1
46,1134,773,False,Cytoplasm,1,1
47,1165,775,False,Cytoplasm,1,1
48,1106,778,False,Cytoplasm,1,1
49,1133,792,False,Cytoplasm,1,1
50,1121,796,False,Cytoplasm,1,1
51,1144,804,False,Cytoplasm,1,1
52,1206,804,False,Cytoplasm,1,1
53,1236,815,False,Cytoplasm,1,1
54,1233,824,False,Cytoplasm,1,1
55,910,1094,False,Cytoplasm,2,1
56,880,1112,False,Cytoplasm,2,1
57,913,1141,False,Cytoplasm,2,1
58,942,1150,False,Cytoplasm,2,1
59,1028,1182,False,Nucleus,2,1
60,1217,528,False,Cytoplasm,1,1
61,1152,533,False,Nucleus,1,1
62,1210,544,False,Cytoplasm,1,1
63,1212,559,False,Nucleus,1,1
64,1228,569,False,Cytoplasm,1,1
65,1081,592,False,Nucleus,1,1
66,1191,660,False,Nucleus,1,1
67,1096,727,False,Cytoplasm,1,1
68,1108,745,False,Cytoplasm,1,1
69,1150,747,False,Nucleus,1,1
70,1115,765,False,Cytoplasm,1,1
71,1122,792,False,Cytoplasm,1,1
72,1225,800,False,Cytoplasm,1,1
73,1238,816,False,Cytoplasm,1,1
74,951,1040,False,Cytoplasm,2,1
75,1133,517,False,Cytoplasm,1,1
76,1131,518,False,Cytoplasm,1,1
77,1243,595,False,Cytoplasm,1,1
78,1265,711,False,Cytoplasm,1,1
79,1265,713,False,Cytoplasm,1,1
80,1108,740,False,Nucleus,1,1
81,1106,740,False,Nucleus,1,1
82,1221,751,False,Nucleus,1,1
83,1172,771,False,Cytoplasm,1,1
84,1135,773,False,Cytoplasm,1,1
85,1152,774,False,Cytoplasm,1,1
86,1154,776,False,Cytoplasm,1,1
87,1151,775,False,Cytoplasm,1,1
88,1210,778,False,Cytoplasm,1,1
89,1211,779,False,Cytoplasm,1,1
90,1206,782,False,Cytoplasm,1,1
91,1178,783,False,Cytoplasm,1,1
92,1133,784,False,Cytoplasm,1,1
93,1218,785,False,Cytoplasm,1,1
94,1216,788,False,Cytoplasm,1,1
95,1189,790,False,Cytoplasm,1,1
96,1157,805,False,Cytoplasm,1,1
97,1153,803,False,Cytoplasm,1,1
98,1151,799,False,Cytoplasm,1,1
99,1158,809,False,Cytoplasm,1,1
100,1155,803,False,Cytoplasm,1,1
101,1152,807,False,Cytoplasm,1,1
102,1171,803,False,Cytoplasm,1,1
103,1230,806,False,Cytoplasm,1,1
104,1243,813,False,Cytoplasm,1,1
105,996,1040,False,Cytoplasm,2,1
106,999,1040,False,Cytoplasm,2,1
107,985,1148,False,Nucleus,2,1
108,1235,715,True,Nucleus,1,1
109,1197,270,False,Cytoplasm,1,2
110,1187,270,False,Cytoplasm,1,2
111,1122,294,False,Cytoplasm,1,2
112,1153,306,False,Cytoplasm,1,2
113,1090,333,False,Nucleus,1,2
114,1079,340,False,Nucleus,1,2
115,1212,347,False,Cytoplasm,1,2
116,1115,422,False,Nucleus,1,2
117,1652,663,False,Cytoplasm,2,2
118,1655,692,False,Cytoplasm,2,2
119,1613,695,False,Cytoplasm,2,2
120,1646,710,False,Cytoplasm,2,2
121,1604,712,False,Cytoplasm,2,2
122,1636,727,False,Cytoplasm,2,2
123,1554,738,False,Cytoplasm,2,2
124,1641,747,False,Cytoplasm,2,2
125,1559,753,False,Cytoplasm,2,2
126,1620,774,False,Cytoplasm,2,2
127,1165,268,False,Cytoplasm,1,2
128,1099,323,False,Cytoplasm,1,2
129,1100,358,False,Nucleus,1,2
130,1115,446,False,Nucleus,1,2
131,1628,594,False,Cytoplasm,2,2
132,1683,644,False,Cytoplasm,2,2
133,1548,656,False,Nucleus,2,2
134,1634,669,False,Cytoplasm,2,2
135,1637,728,False,Cytoplasm,2,2
136,1525,732,False,Nucleus,2,2
137,1544,734,False,Nucleus,2,2
138,1615,733,False,Cytoplasm,2,2
139,1537,737,False,Nucleus,2,2
140,1623,765,False,Cytoplasm,2,2
141,1141,265,False,Cytoplasm,1,2
142,1098,285,False,Cytoplasm,1,2
143,1088,312,False,Cytoplasm,1,2
144,1092,318,False,Cytoplasm,1,2
145,1089,326,False,Cytoplasm,1,2
146,1089,324,False,Cytoplasm,1,2
147,1077,349,False,Nucleus,1,2
148,1079,349,False,Nucleus,1,2
149,1607,480,False,Cytoplasm,2,2
150,1610,527,False,Nucleus,2,2
151,1610,524,False,Nucleus,2,2
152,1614,526,False,Nucleus,2,2
153,1617,534,False,Nucleus,2,2
154,1620,534,False,Nucleus,2,2
155,1677,618,False,Cytoplasm,2,2
156,1682,611,False,Cytoplasm,2,2
157,1679,616,False,Cytoplasm,2,2
158,1673,615,False,Cytoplasm,2,2
159,1677,623,False,Cytoplasm,2,2
160,1672,620,False,Cytoplasm,2,2
161,1685,626,False,Cytoplasm,2,2
162,1679,635,False,Cytoplasm,2,2
163,1680,622,False,Cytoplasm,2,2
164,1678,612,False,Cytoplasm,2,2
165,1675,620,False,Cytoplasm,2,2
166,1678,630,False,Cytoplasm,2,2
167,1683,634,False,Cytoplasm,2,2
168,1680,639,False,Cytoplasm,2,2
169,1679,618,False,Cytoplasm,2,2
170,1670,616,False,Cytoplasm,2,2
171,1674,626,False,Cytoplasm,2,2
172,1680,626,False,Cytoplasm,2,2
173,1682,611,False,Cytoplasm,2,2
174,1676,615,False,Cytoplasm,2,2
175,1680,632,False,Cytoplasm,2,2
176,1670,625,False,Cytoplasm,2,2
177,1653,616,False,Cytoplasm,2,2
178,1684,625,False,Cytoplasm,2,2
179,1685,626,False,Cytoplasm,2,2
180,1674,626,False,Cytoplasm,2,2
181,1690,628,False,Cytoplasm,2,2
182,1643,648,False,Cytoplasm,2,2
183,1645,648,False,Cytoplasm,2,2
184,1617,676,False,Cytoplasm,2,2
