,x,y,tssite,region,cell,frame
0,962,160,False,Cytoplasm,1,0
1,928,272,False,Nucleus,1,0
2,811,389,False,Cytoplasm,1,0
3,1259,393,False,Cytoplasm,2,0
4,1295,411,False,Cytoplasm,2,0
5,1113,417,False,Cytoplasm,2,0
6,1206,422,False,Cytoplasm,2,0
7,989,426,False,Cytoplasm,1,0
8,803,429,False,Cytoplasm,1,0
9,1260,450,False,Cytoplasm,2,0
10,1426,458,False,Cytoplasm,2,0
11,1231,459,False,Cytoplasm,2,0
12,1241,462,False,Cytoplasm,2,0
13,1290,464,False,Nucleus,2,0
14,865,465,False,Cytoplasm,1,0
15,1273,469,False,Cytoplasm,2,0
16,1248,472,False,Cytoplasm,2,0
17,1133,479,False,Cytoplasm,2,0
18,1154,479,False,Cytoplasm,2,0
19,1149,492,False,Cytoplasm,2,0
20,1339,492,False,Nucleus,2,0
21,1450,494,False,Cytoplasm,2,0
22,1204,497,False,Cytoplasm,2,0
23,1305,499,False,Nucleus,2,0
24,1432,506,False,Cytoplasm,2,0
25,1413,514,False,Cytoplasm,2,0
26,1362,522,False,Nucleus,2,0
27,1435,524,False,Cytoplasm,2,0
28,1418,529,False,Cytoplasm,2,0
29,1366,531,False,Nucleus,2,0
30,1284,536,False,Nucleus,2,0
31,1420,536,False,Cytoplasm,2,0
32,1316,544,False,Nucleus,2,0
33,1332,548,False,Nucleus,2,0
34,1295,551,False,Cytoplasm,2,0
35,1340,551,False,Nucleus,2,0
36,1512,563,False,Cytoplasm,2,0
37,1319,584,False,Cytoplasm,2,0
38,263,593,False,Nucleus,3,0
39,452,641,False,Cytoplasm,3,0
40,352,678,False,Nucleus,3,0
41,1538,698,False,Cytoplasm,4,0
42,304,710,False,Nucleus,3,0
43,1531,725,False,Cytoplasm,4,0
44,344,770,False,Cytoplasm,3,0
45,341,795,False,Cytoplasm,3,0
46,1599,805,False,Nucleus,4,0
47,1659,841,False,Nucleus,4,0
48,1485,849,False,Cytoplasm,4,0
49,1442,864,False,Cytoplasm,4,0
50,1557,863,False,Nucleus,4,0
51,670,1142,False,Cytoplasm,5,0
52,498,1340,False,Nucleus,6,0
53,574,1351,False,Nucleus,6,0
54,457,1361,False,Nucleus,6,0
55,1145,386,False,Cytoplasm,2,0
56,1173,402,False,Cytoplasm,2,0
57,1113,434,False,Cytoplasm,2,0
58,1268,458,False,Cytoplasm,2,0
59,1208,466,False,Cytoplasm,2,0
60,1383,465,False,Nucleus,2,0
61,1186,499,False,Cytoplasm,2,0
62,1331,525,False,Nucleus,2,0
63,1417,530,False,Cytoplasm,2,0
64,1432,542,False,Cytoplasm,2,0
65,1464,548,False,Cytoplasm,2,0
66,1484,572,False,Cytoplasm,2,0
67,1330,581,False,Cytoplasm,2,0
68,1444,583,False,Cytoplasm,2,0
69,1359,585,False,Cytoplasm,2,0
70,259,592,False,Nucleus,3,0
71,1656,829,False,Nucleus,4,0
72,1507,875,False,Cytoplasm,4,0
73,1709,926,False,Cytoplasm,4,0
74,651,1096,False,Nucleus,5,0
75,588,1126,False,Nucleus,5,0
76,671,1142,False,Cytoplasm,5,0
77,644,1179,False,Cytoplasm,5,0
78,503,1343,False,Nucleus,6,0
79,473,1399,False,Nucleus,6,0
80,1328,410,False,Cytoplasm,2,0
81,1267,465,False,Cytoplasm,2,0
82,1264,466,False,Cytoplasm,2,0
83,1266,467,False,Cytoplasm,2,0
84,1269,475,False,Cytoplasm,2,0
85,1277,519,False,Nucleus,2,0
86,1278,518,False,Nucleus,2,0
87,1277,521,False,Nucleus,2,0
88,1281,522,False,Nucleus,2,0
89,1277,519,False,Nucleus,2,0
90,1276,522,False,Nucleus,2,0
91,1254,526,False,Cytoplasm,2,0
92,1469,532,False,Cytoplasm,2,0
93,1488,546,False,Cytoplasm,2,0
94,1487,545,False,Cytoplasm,2,0
95,1379,568,False,Cytoplasm,2,0
96,1320,577,False,Cytoplasm,2,0
97,1341,585,False,Cytoplasm,2,0
98,1342,584,False,Cytoplasm,2,0
99,257,599,False,Nucleus,3,0
100,260,601,False,Nucleus,3,0
101,260,599,False,Nucleus,3,0
102,261,653,False,Nucleus,3,0
103,261,653,False,Nucleus,3,0
104,251,658,False,Nucleus,3,0
105,249,660,False,Nucleus,3,0
106,252,660,False,Nucleus,3,0
107,375,662,False,Nucleus,3,0
108,375,662,False,Nucleus,3,0
109,249,665,False,Nucleus,3,0
110,248,664,False,Nucleus,3,0
111,274,688,False,Nucleus,3,0
112,273,689,False,Nucleus,3,0
113,385,696,False,Cytoplasm,3,0
114,388,697,False,Cytoplasm,3,0
115,385,695,False,Nucleus,3,0
116,388,696,False,Cytoplasm,3,0
117,382,693,False,Nucleus,3,0
118,384,691,False,Nucleus,3,0
119,388,692,False,Cytoplasm,3,0
120,386,697,False,Cytoplasm,3,0
121,382,696,False,Nucleus,3,0
122,390,698,False,Cytoplasm,3,0
123,381,690,False,Nucleus,3,0
124,267,693,False,Nucleus,3,0
125,267,693,False,Nucleus,3,0
126,267,694,False,Nucleus,3,0
127,1629,821,False,Nucleus,4,0
128,1648,830,False,Nucleus,4,0
129,1551,839,False,Nucleus,4,0
130,1552,840,False,Nucleus,4,0
131,1551,839,False,Nucleus,4,0
132,1552,840,False,Nucleus,4,0
133,1638,852,False,Nucleus,4,0
134,1639,853,False,Nucleus,4,0
135,1637,851,False,Nucleus,4,0
136,1639,851,False,Nucleus,4,0
137,1639,853,False,Nucleus,4,0
138,1637,851,False,Nucleus,4,0
139,1639,853,False,Nucleus,4,0
140,1639,851,False,Nucleus,4,0
141,1637,851,False,Nucleus,4,0
142,1638,853,False,Nucleus,4,0
143,1639,851,False,Nucleus,4,0
144,1639,853,False,Nucleus,4,0
145,1637,851,False,Nucleus,4,0
146,1638,853,False,Nucleus,4,0
147,1637,851,False,Nucleus,4,0
148,1639,851,False,Nucleus,4,0
149,1639,853,False,Nucleus,4,0
150,1637,851,False,Nucleus,4,0
151,1641,849,False,Nucleus,4,0
152,1639,853,False,Nucleus,4,0
153,1637,851,False,Nucleus,4,0
154,1642,849,False,Nucleus,4,0
155,1640,847,False,Nucleus,4,0
156,1639,853,False,Nucleus,4,0
157,1636,848,False,Nucleus,4,0
158,1640,851,False,Nucleus,4,0
159,1644,848,False,Nucleus,4,0
160,1532,865,False,Nucleus,4,0
161,1532,867,False,Nucleus,4,0
162,1534,865,False,Nucleus,4,0
163,1532,865,False,Nucleus,4,0
164,1535,867,False,Nucleus,4,0
165,1532,867,False,Nucleus,4,0
166,1534,865,False,Nucleus,4,0
167,1534,869,False,Nucleus,4,0
168,1574,880,False,Nucleus,4,0
169,1574,878,False,Nucleus,4,0
170,464,1362,False,Nucleus,6,0
171,464,1362,False,Nucleus,6,0
172,464,1362,False,Nucleus,6,0
173,462,1364,False,Nucleus,6,0
174,858,170,False,Cytoplasm,1,1
175,663,217,False,Nucleus,1,1
176,549,274,False,Nucleus,1,1
177,1503,333,False,Nucleus,2,1
178,1555,335,False,Nucleus,2,1
179,1562,347,False,Nucleus,2,1
180,1617,408,False,Cytoplasm,2,1
181,1530,466,False,Nucleus,2,1
182,1160,481,False,Nucleus,3,1
183,1042,533,False,Cytoplasm,3,1
184,1169,534,False,Nucleus,3,1
185,1096,543,False,Nucleus,3,1
